Cell type from Table S2,Tissue from Table S2,Reported # of cells,Observed Coarse Label?,Assigned new label,Remark
PHB_and_possibly_PHA,Ciliated neurons,83,N,,Unclear - unspecified ciliated neuron?
URX,Ciliated neurons,230,N,Ciliated_non_amphid_neuron,
AIA,Non-ciliated neurons,56,N,Non_ciliated_neuron,"No existing coarse label for most NCNs, so one was created"
AIB,Non-ciliated neurons,126,N,Non_ciliated_neuron,
AIM,Non-ciliated neurons,94,N,Non_ciliated_neuron,
AIN,Non-ciliated neurons,64,N,Non_ciliated_neuron,Also AIN_parent
AIY,Non-ciliated neurons,149,N,Non_ciliated_neuron,
AIZ,Non-ciliated neurons,39,N,Non_ciliated_neuron,
ALA,Non-ciliated neurons,122,N,Non_ciliated_neuron,
ALM_PLM,Non-ciliated neurons,76,N,Non_ciliated_neuron,
ALM_BDU,Non-ciliated neurons,90,N,Non_ciliated_neuron,
ALN,Non-ciliated neurons,28,N,Non_ciliated_neuron,
AUA,"Non-ciliated neurons and
Ciliated neurons",154,N,,Skip due to ambiguous description
AVA,Non-ciliated neurons,248,N,Non_ciliated_neuron,
AVB,Non-ciliated neurons,187,N,Non_ciliated_neuron,
AVD,Non-ciliated neurons,99,N,Non_ciliated_neuron,
AVE,Non-ciliated neurons,177,N,Non_ciliated_neuron,
AVG,Non-ciliated neurons,125,N,Non_ciliated_neuron,
AVH,Non-ciliated neurons,94,N,Non_ciliated_neuron,Also AVH_parent
AVJ,Non-ciliated neurons,53,N,Non_ciliated_neuron,
AVK,Non-ciliated neurons,336,N,Non_ciliated_neuron,
Parent_of_exc_gland_AVK,-,0,Y,"Added, this progenitor coarse label sometimes occurs with RIM_parent as the fine label and other times with NA"
AVL,Non-ciliated neurons,114,N,Non_ciliated_neuron,
CAN,Non-ciliated neurons,332,N,Non_ciliated_neuron,
DA,Non-ciliated neurons,529,N,Non_ciliated_neuron,"One DA-labeled cell is labeled as Pharyngeal_neuron, which we swap to NCN"
DA_DB,Non-ciliated neurons,173,N,Non_ciliated_neuron,
DB,Non-ciliated neurons,491,N,Non_ciliated_neuron,
Parent_of_exc_duct_pore_DB_1_3,-,0,Y,Non_ciliated_neuron,"Added, this coarse label sometimes occurs with DB as the fine label and other times with NA"
DD,Non-ciliated neurons,326,N,Non_ciliated_neuron,
DVA,Non-ciliated neurons,99,N,Non_ciliated_neuron,
DVC,Non-ciliated neurons,101,N,Non_ciliated_neuron,Also DVC_parent
FLP,Non-ciliated neurons,19,N,Non_ciliated_neuron,
I5,Non-ciliated neurons,83,N,Non_ciliated_neuron,
PLM,Non-ciliated neurons,16,N,Non_ciliated_neuron,
PVP,Non-ciliated neurons,116,N,Non_ciliated_neuron,
PVQ_and_possibly_PVC,Non-ciliated neurons,48,N,Non_ciliated_neuron,
PVR,Non-ciliated neurons,14,N,Non_ciliated_neuron,
PVT,Non-ciliated neurons,54,N,Non_ciliated_neuron,
RIA,Non-ciliated neurons,260,N,Non_ciliated_neuron,Also RIA_parent
RIB,Non-ciliated neurons,86,N,Non_ciliated_neuron,
RIC,Non-ciliated neurons,69,N,Non_ciliated_neuron,Also RIC_parent
RID,Non-ciliated neurons,55,N,Non_ciliated_neuron,Also RID_parent
RIH,Non-ciliated neurons,38,N,Non_ciliated_neuron,
RIM,Non-ciliated neurons,157,N,Non_ciliated_neuron,Also RIM_parent
RIS,Non-ciliated neurons,127,N,Non_ciliated_neuron,
RIV,Non-ciliated neurons,198,N,Non_ciliated_neuron,
RMD,Non-ciliated neurons,199,N,Non_ciliated_neuron,
RME,Non-ciliated neurons,335,N,Non_ciliated_neuron,Also RME_LR_parent - would exclude
RMED,Non-ciliated neurons,25,N,Non_ciliated_neuron,
SIA,Non-ciliated neurons,200,N,Non_ciliated_neuron,
SIB,Non-ciliated neurons,124,N,Non_ciliated_neuron,
SMB,Non-ciliated neurons,177,N,Non_ciliated_neuron,
SMD,Non-ciliated neurons,303,N,Non_ciliated_neuron,
URB_and_possibly_URA,Non-ciliated neurons,93,N,Non_ciliated_neuron,Also URB_parent
T,Time 350min hypodermis + glia,141,Y,,"Excluded, because these are undifferentiated between hypodermis and glia"
Excretory_duct,Duct and pore,26,N,Excretory_duct_and_pore,
Excretory_pore_G1,Duct and pore,19,N,Excretory_duct_and_pore,
B,Rectal cells,35,N,Rectal_cell,
F_U,Rectal cells,47,N,Rectal_cell,
K_Kprime,Rectal cells,39,N,Rectal_cell,
Y,Rectal cells,43,N,Rectal_cell,
B_F_K_Kp_U_Y,Rectal cells,166,N,Rectal_cell,
rect_D,Rectal cells,20,N,Rectal_gland,
Rectal_gland,Rectal cells,249,Y,Rectal_gland,
